40,0.49,0.36
41,0.49,0.36
42,0.49,0.36
43,0.49,0.36
44,0.49,0.36
45,0.49,0.36
46,0.49,0.36
47,0.49,0.36
48,0.49,0.36
49,0.49,0.36
50,0.5,0.38
51,0.5,0.38
52,0.5,0.38
53,0.5,0.38
54,0.5,0.38
55,0.5,0.38
56,0.5,0.38
57,0.5,0.38
58,0.5,0.38
59,0.5,0.38
60,0.54,0.43
61,0.54,0.43
62,0.54,0.43
63,0.54,0.43
64,0.54,0.43
65,0.54,0.43
66,0.54,0.43
67,0.54,0.43
68,0.54,0.43
69,0.54,0.43
70,0.6,0.5
71,0.6,0.5
72,0.6,0.5
73,0.6,0.5
74,0.6,0.5
75,0.6,0.5
76,0.6,0.5
77,0.6,0.5
78,0.6,0.5
79,0.6,0.5
80,0.67,0.67
81,0.67,0.67
82,0.67,0.67
83,0.67,0.67
84,0.67,0.67
85,0.67,0.67
86,0.67,0.67
87,0.67,0.67
88,0.67,0.67
89,0.67,0.67
90,0.67,0.67
91,0.67,0.67
92,0.67,0.67
93,0.67,0.67
94,0.67,0.67
95,0.67,0.67
96,0.67,0.67
97,0.67,0.67
98,0.67,0.67
99,0.67,0.67
100,0.67,0.67
