40,0.03,0.09
41,0.03,0.09
42,0.03,0.09
43,0.03,0.09
44,0.03,0.09
45,0.05,0.3
46,0.05,0.3
47,0.05,0.3
48,0.05,0.3
49,0.05,0.3
50,0.05,0.3
51,0.05,0.3
52,0.05,0.3
53,0.05,0.3
54,0.05,0.3
55,0.06,0.14
56,0.06,0.14
57,0.06,0.14
58,0.06,0.14
59,0.06,0.14
60,0.06,0.14
61,0.06,0.14
62,0.06,0.14
63,0.06,0.14
64,0.06,0.14
65,0.09,0.18
66,0.09,0.18
67,0.09,0.18
68,0.09,0.18
69,0.09,0.18
70,0.09,0.18
71,0.09,0.18
72,0.09,0.18
73,0.09,0.18
74,0.09,0.18
75,0.16,0.34
76,0.16,0.34
77,0.16,0.34
78,0.16,0.34
79,0.16,0.34
80,0.16,0.34
81,0.16,0.34
82,0.16,0.34
83,0.16,0.34
84,0.16,0.34
85,0.16,0.34
86,0.16,0.34
87,0.16,0.34
88,0.16,0.34
89,0.16,0.34
90,0.16,0.34
91,0.16,0.34
92,0.16,0.34
93,0.16,0.34
94,0.16,0.34
95,0.16,0.34
96,0.16,0.34
97,0.16,0.34
98,0.16,0.34
99,0.16,0.34
100,0.16,0.34
